Star,30000,Sol,0,0,0,1,1,1,G2 V,,Sol
Multiple,30084,LHS 225,-19.58278736,-52.01396099,-13.98840375,,,,,,57.31154454
Star,30084,LHS 225 A,-19.58278736,-52.01396099,-13.98840375,0.5,,,M3 V,,57.31154454
Star,30084,LHS 225 B,-19.58278736,-52.01396099,-13.98840375,0.5,,,M3 V,,57.31154454
Star,30085,WT 870,34.68890648,-4.089282055,-45.94817532,0.5,,,M4 V,,57.71721819
Star,30086,Gliese 1118,-14.30153259,-55.42571635,9.632468841,0.5,,,M3 V,,58.04591564
Star,30087,LHS 1630 AB,-30.40904438,-26.37247636,-41.83671135,0.5,,,M3.5 V,,58.05624778
Star,30089,LHS 3197,55.17225181,-1.180566845,21.62177749,0.5,,,M4.5 V,,59.26948937
Star,30090,LHS 3909,14.33393558,22.34751856,-53.14748655,0.5,,,M3 V,,59.40983607
Star,30091,LHS 2401,4.432826014,-45.78439155,38.33554632,0.5,,,M3 V,,59.87883238
Star,30093,LHS 3218,58.31880109,-8.023749651,14.10550008,0.5,,,M4 V,,60.53452116
Star,30094,LHS 2328,-6.566807653,-43.10912392,42.05182116,0.5,,,M3.5 V,,60.5794948
Star,30095,LHS 3169,57.37021112,-12.1823457,16.93112114,0.5,,,M3.5 V,,61.0443571
Star,30096,LHS 539,23.74553509,-0.209134948,-56.9627851,0.5,,,M V?,,61.71428571
Star,30097,LHS 423,61.22842698,-11.3844269,12.23155313,0.5,,,M3 V,,63.4676007
Multiple,30098,LHS 3738/3789,37.84802462,9.483163525,-50.71874718,,,,,,63.9905827
Star,30098,LHS 3739 A,37.84802462,9.483163525,-50.71874718,0.5,,,M3.5 V,,63.9905827
Star,30098,LHS 3738 B,37.84802462,9.483163525,-50.71874718,0.5,,,M4.5 V,,63.9905827
Star,30098,LHS 3738 C,37.84802462,9.483163525,-50.71874718,0.5,,,M4.5 V,,63.9905827
Star,30100,LHS 2335,6.296774601,-57.74340403,28.09219351,0.5,,,M2.5 V,,64.52225519
Star,30101,Gliese 1252,49.75787312,-16.91585084,-37.47566789,0.5,,,M2.5 V,,64.54779339
Star,30102,LP 600-043,-54.4485256,-34.59586321,-6.304748176,0.5,,,M V?,,64.81717011
Multiple,15077,RR Caeli,-11.5586097,-45.37556353,-46.01809118,,,,,,65.65217391
White Dwarf,15077,WD 0419-487 (RR Caeli A),-11.5586097,-45.37556353,-46.01809118,0.5,,,DAZ8,,65.65217391
Star,15077,RR Caeli B,-11.5586097,-45.37556353,-46.01809118,0.5,,,M4 V,,65.65217391
Star,30104,APMPM J2127-3844,45.74579627,3.302885799,-47.77252473,0.5,,,M V?,,66.22538071
Star,30105,HIP 3856,20.58080371,-31.26495001,-55.66983049,0.5,,,M2.5 V,,67.08350473
Star,30106,LHS 3443,62.82492715,-1.47074436,-23.67133707,0.5,,,M2 V,,67.15256331
Star,30108,APMPM J0544-4108,-22.96260279,-53.84988562,-33.35016055,0.5,,,M4 V,,67.3745094
Star,30109,LHS 1582 AB,-45.51470031,-14.66409133,-49.29787725,0.5,,,M4.5 V,,68.67972205
Star,30110,LHS 3925,30.05431198,-12.57683163,-61.52412335,0.5,,,M3.5 V,,69.61792956
Multiple,30111,LHS 2567/2568,14.86524776,-34.92352482,58.44988944,,,,,,69.69230769
Star,30111,LHS 2567 A,14.86524776,-34.92352482,58.44988944,0.5,,,M3.5 V,,69.69230769
Star,30111,LHS 2568 B,14.86524776,-34.92352482,58.44988944,0.5,,,M4 V,,69.69230769
Star,30112,LHS 406,61.02863031,-12.12859146,31.62251582,0.5,,,M2 VI,,69.79670447
Star,30113,LHS 1749 A,13.85493957,-57.67027512,-38.45964079,0.5,,,M2 V,,70.68920676
Star,30114,LHS 4039,17.88062021,0.963358359,-72.75648435,0.5,,,M4 V,,74.92763611
White Dwarf,30115,LHS 4040 (WD 2331-335),17.88166602,0.960809449,-72.75626103,0.5,,,DA5,,74.92763611
Star,30116,WT 244,25.84748815,-67.76629471,-20.33686214,0.5,,,M4.5 V,,75.3256351
Star,30117,LHS 1748,-37.02403887,-51.37244684,-41.1779544,0.5,,,M2.5 V,,75.53496989
Multiple,30118,Gliese 1226,67.14574748,36.46102246,8.429751771,,,,,,76.87013905
Star,30118,Gliese 1226 A,67.14574748,36.46102246,8.429751771,0.5,,,M3.5 V,,76.87013905
Star,30118,Gliese 1226 B,67.14574748,36.46102246,8.429751771,0.5,,,M3.5 V,,76.87013905
Star,30119,SCR 0342-6407,8.391502878,-55.81270468,-54.53004958,0.5,,,M4 V,,78.47930703
Star,30120,LHS 4016,16.96282682,8.690401137,-76.73760859,0.5,,,M2.5 V,,79.06909091
Star,30121,Gliese 1281,22.57428978,23.74196445,-72.19500767,0.5,,,M2.5 V,,79.28050559
Star,30122,LHS 3484,57.78070543,-41.61269596,-41.18790929,0.5,,,M3.5 V,,82.25977301
Star,30123,LHS 1656,-2.75234527,-60.54561898,-56.35591803,0.5,,,M V,,82.76072063
Star,30124,LHS 3147,76.48011954,-15.44951454,29.01883232,0.5,,,M3.5 V,,83.24655436
Star,30125,WT 135,-19.73776426,-53.78145952,-60.8091769,0.5,,,M3 VI,,83.54508197
Star,30126,Gliese 762,66.17667437,-32.69981445,-40.58319393,0.5,,,M2.5 V,,84.23553719
Star,30127,WT 248,25.84165533,-79.61464267,-13.89568008,0.5,,,M3 V,,84.8491155
White Dwarf,30128,L 064-040 (WD 0928-713),25.7751447,-77.91668269,-21.54077241,0.5,,,DA5.5,,84.8491155
White Dwarf,30129,Gliese 781.3 (WD 2007-219),71.30766209,27.13521125,-38.2281296,0.5,,,DA6,,85.33751962
White Dwarf,30130,LHS 3245 (WD 1647-327),85.79721296,-15.07485836,11.31058948,0.5,,,DA8.5,,87.84271479
Star,30131,LHS 3836,48.85597169,-38.35857474,-64.51236884,0.5,,,M3.5 V,,89.55518946
Star,30132,LHS 440,86.34698008,-23.36057786,-5.237379589,0.5,,,M1 VI,,89.6043956
Star,30133,LHS 3740,56.1442605,-26.0835198,-66.35707772,0.5,,,M3.5 V,,90.75125209
Star,30134,LHS 3080,37.30202803,37.73288985,74.94327366,0.5,,,M4 V,,91.82432432
Multiple,30135,LHS 193,-32.82597368,-62.43170784,-65.55887973,,,,,,93.83199079
White Dwarf,30135,LHS 193 A (WD 0430-391),-32.82597368,-62.43170784,-65.55887973,0.6,,,DC10.2,,93.83199079
Star,30135,LHS 193 B,-32.82597368,-62.43170784,-65.55887973,0.5,,,M0 VI,,93.83199079
Star,30137,LHS 1561,-66.0573637,-12.24566065,-67.68754856,0.5,,,M3.5 V,,95.36842105
Star,30138,LHS 300 AB,21.66574748,-91.41607024,30.4070274,0.5,,,M0 VI,,98.74659401
Star,30140,SCR 2115-7541,59.44569658,-55.37654102,-56.49778125,0.5,,,M3.5 V,,98.95631068
